Year,Board,School,Address,City,Area,energyNorm (ekWh/HDD),ghgNorm (kg/HDD)
2020-2021,Algoma DSB,Ben R McMullin PS,24 Paradise Ave,Sault Ste. Marie,22098,154.8,21.62
2020-2021,Algoma DSB,Blind River PS,19 Hanes Ave,Blind River,48244,154.9,21.62
2020-2021,Algoma DSB,Central Algoma SS,32 Kensington Rd,Desbarats,112881,980.1,135.66
2020-2021,Algoma DSB,Boreal FI,232 Northern Ave E,Sault Ste. Marie,129920,648.2,89.12
2020-2021,Algoma DSB,Anna McCrea PS,250 Mark St,Sault Ste. Marie,32701,267.3,39.53
2020-2021,Algoma DSB,Arthur Henderson PS,2 Henderson Lane,Bruce Mines,24811,125.5,19.39
2020-2021,Algoma DSB,Central Avenue PS,81 Central Ave,Elliot Lake,34556,197.6,29.82
2020-2021,Algoma DSB,Central Plant Office - CLOSED,190 Northern Ave. E.,Sault Ste. Marie,11200,57.7,8.19
2020-2021,Algoma DSB,Chapleau Secondary School & Track Field Facility,20 Teak Street,Chapleau,42636,356,72.58
2020-2021,Algoma DSB,Francis H Clergue PS,80 Weldon Ave,Sault Ste. Marie,27140,268.2,32.24
2020-2021,Algoma DSB,Grandview PS,161 Denwood Dr,Sault Ste. Marie,27538,259.1,35.08
2020-2021,Algoma DSB,Greenwood PS,8 Fourth Line W,Sault Ste. Marie,26630,154.8,22.41
2020-2021,Algoma DSB,Parkland PS,54 Amber St,Sault Ste. Marie,35632,200.8,27.25
2020-2021,Algoma DSB,Pinewood PS,3924 Queen St E,Sault Ste. Marie,22324,135.9,16.57
2020-2021,Algoma DSB,Prince Charles PS,550 Northern Ave E,Sault Ste. Marie,17943,119.8,16.67
2020-2021,Algoma DSB,Thessalon PS,90 Stanley Street,Thessalon,18783,135.8,20.21
2020-2021,Algoma DSB,Thessalon PS Annex (Federation St),266 Federation St.,Thessalon,10951,66.3,9.58
2020-2021,Algoma DSB,W C Eaket SS,147 Woodward Ave,Blind River,107773,574.8,89.97
2020-2021,Algoma DSB,H M Robbins PS,83 East Balfour St,Sault Ste. Marie,25184,133.4,17.54
2020-2021,Algoma DSB,Hornepayne Jk-12 School (Elementary & Secondary),162 Fourth Avenue,Hornepayne,24305,191.3,4.87
2020-2021,Algoma DSB,Isabel Fletcher PS,599 Third Line W,Sault Ste. Marie,25640,150.2,18.71
2020-2021,Algoma DSB,Queen Elizabeth PS,139 Elizabeth St,Sault Ste. Marie,25798,154.8,18.68
2020-2021,Algoma DSB,R M Moore PS,1272 Base Line,Sault Ste. Marie,24725,146.9,19.9
2020-2021,Algoma DSB,River View PS,51 Wireless Ave,Sault Ste. Marie,29956,146.1,19.41
2020-2021,Algoma DSB,White Pines C & VS & Intermediate School,1007 Trunk Rd,Sault Ste. Marie,189994,1202.4,152.11
2020-2021,Algoma DSB,East View PS,75 Arizona Ave,Sault Ste. Marie,29482,162.7,22.35
2020-2021,Algoma DSB,Echo Bay Central PS,290 Church St,Echo Bay,18783,150,20.58
2020-2021,Algoma DSB,Education Centre,644 Albert St. E.,Sault Ste. Marie,45569,333.1,37.14
2020-2021,Algoma DSB,Kiwedin PS,735 North St,Sault Ste. Marie,24018,178.2,23.11
2020-2021,Algoma DSB,Korah C & VS,636 Goulais Ave,Sault Ste. Marie,179994,829.9,108.16
2020-2021,Algoma DSB,Michipicoten HS,86 Magpie Rd.,Wawa,87540,534,71.96
2020-2021,Algoma DSB,Rockhaven TR School,1859 Riverview Road,Serpent River,7750,54.9,10.12
2020-2021,Algoma DSB,Northland Learning Centre,440 Northland Rd,Sault Ste. Marie,17782,147.2,21.5
2020-2021,Algoma DSB,Sir James Dunn P.S.,36 McKinley St.,Wawa,35582,166.9,33.44
2020-2021,Algoma DSB,Elliot Lake SS (Sec),303 Mississauga Ave,Elliot Lake,102333,614.6,85.14
2020-2021,Algoma DSB,Esten Park Public School,115 Hergott Avenue,Elliot Lake,28866,154.9,20.11
2020-2021,Algoma DSB,Etienne Brule PS,226 Queen St W,Sault Ste. Marie,40537,261.3,35.74
2020-2021,Algoma DSB,Missarenda Consolidated PS ,P.O. Box 62,Missanabie,5050,2.3,0.06
2020-2021,Algoma DSB,Mountain View PS,21 Mahler Rd,Goulais River,29784,30.9,0.79
2020-2021,Algoma DSB,Northern Heights PS,210 Grand Blvd,Sault Ste. Marie,22852,132.3,18.89
2020-2021,Algoma DSB,St Joseph Island Central S,1326 Richards Street,Richards Landing,24047,162.8,33.34
2020-2021,Algoma DSB,Superior Heights C&VS & Intermediate School,750 North St,Sault Ste Marie,177852,1134.9,132.77
2020-2021,Algoma DSB,Tarentorus PS,96 Northwood St,Sault Ste. Marie,25306,191.5,25.28
2020-2021,Algonquin & Lakeshore CDSB,Georges Vanier Catholic School,100 Tracey Street,Belleville,32968,208.9,17.57
2020-2021,Algonquin & Lakeshore CDSB,Holy Cross Catholic Secondary School,1085 Woodbine Rd,Kingston,142034,796.3,71.86
2020-2021,Algonquin & Lakeshore CDSB,Holy Name Catholic School,"370 Kingston Mills Road, RR 6",Kingston,22244,71.8,1.83
2020-2021,Algonquin & Lakeshore CDSB,John XXIII Catholic School,736 High Gate Park Dr,Kingston,27585,123.1,15.22
2020-2021,Algonquin & Lakeshore CDSB,Mother Teresa Catholic School,1044 Lancaster Dr,Kingston,39504,285.4,31.9
2020-2021,Algonquin & Lakeshore CDSB,Nicholson Catholic College,301 Church Street,Belleville,90580,678.6,94.29
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Mount Carmel Catholic School,97 Park Cres,Amherstview,31375,120.3,17.68
2020-2021,Algonquin & Lakeshore CDSB,Plant Operations (East),131  Grant Timmins Drive,Kingston,6000,39.3,4.45
2020-2021,Algonquin & Lakeshore CDSB,Plant Operations (West),347 Maitland Dr,Belleville,7850,31.3,3.99
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Wolfe Island),"57 Road 95, Box 59",Wolfe Island,16139,45.8,6.97
2020-2021,Algonquin & Lakeshore CDSB,St Carthagh Catholic School,"114 Hungerford Road, P.O. Box 279",Tweed,33513,199.9,29.23
2020-2021,Algonquin & Lakeshore CDSB,St Gregory Catholic School,"7 Owen Street, P.O. Box 1449",Picton,25462,138.8,19.73
2020-2021,Algonquin & Lakeshore CDSB,ALCDSB Catholic Education Centre,151 Dairy Ave,Napanee,26059,202,21.84
2020-2021,Algonquin & Lakeshore CDSB,Archbishop O Sullivan Catholic School,974 Pembridge Cres,Kingston,29289,233.3,23.86
2020-2021,Algonquin & Lakeshore CDSB,Ecole Cathedrale Catholic School,301 Johnson St,Kingston,35080,141,21.28
2020-2021,Algonquin & Lakeshore CDSB,Holy Name of Mary Catholic School,7314 Old Highway 2,Marysville,12311,75.3,13.22
2020-2021,Algonquin & Lakeshore CDSB,Holy Rosary Catholic School,10 Prince of Wales Drive,Belleville,20311,145.1,19.29
2020-2021,Algonquin & Lakeshore CDSB,J J O'Neill Catholic School,240 Marilyn Ave,Napanee,20249,153.7,13.67
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Fatima Catholic School,300 Sidney Street,Belleville,20416,212.1,22.07
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Lourdes Catholic School,20 Cranbrook St,Kingston,23734,190.6,25.61
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Mercy Catholic School,"192 Bridge Street, West, P.O. Box 778",Bancroft,20774,120.3,13.95
2020-2021,Algonquin & Lakeshore CDSB,Regiopolis - Notre Dame Catholic Secondary School,130 Russell St,Kingston,136982,655.4,52.78
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Batawa),"31 Thomas Bata Blvd., P.O. Box 135",Batawa,15559,118.2,10.26
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Marmora),"50 Bursthall Street, P.O. Box 280",Marmora,19454,122.7,15.7
2020-2021,Algonquin & Lakeshore CDSB,St Joseph Catholic School,"405 Bridge Street, East",Belleville,28446,187.4,26.93
2020-2021,Algonquin & Lakeshore CDSB,St Marguerite Bourgeois Catholic School,355 Waterloo Drive,Kingston,35765,241,30.74
2020-2021,Algonquin & Lakeshore CDSB,St Martha Catholic School,455 St. Martha Street,Kingston,48040,254.3,35.75
2020-2021,Algonquin & Lakeshore CDSB,St Martin Catholic School,"1 Post Street, PO Box 177",Whitney,15100,82.3,2.09
2020-2021,Algonquin & Lakeshore CDSB,St Mary Catholic School (Read),"1285 Read Side Road, RR 1",Shannonville,7666,34.9,3.66
2020-2021,Algonquin & Lakeshore CDSB,St Mary Catholic School (Trenton),85 Campbell Street,Trenton,46394,381.3,55.57
2020-2021,Algonquin & Lakeshore CDSB,St Paul Catholic School (Kingston),266 McMahon Ave,Kingston,14485,163.2,24.19
2020-2021,Algonquin & Lakeshore CDSB,St Paul Catholic Secondary School,15 Tripp Blvd.,Trenton,69915,391.8,31.42
2020-2021,Algonquin & Lakeshore CDSB,St Peter Catholic School (Kingston),48 Seventh Ave,Kingston,14446,97,9.74
2020-2021,Algonquin & Lakeshore CDSB,St. Francis of Assisi Catholic School,114 Wiley Street,Kingston,36468,172.6,20.81
2020-2021,Algonquin & Lakeshore CDSB,St. James Major Catholic School ,14608 HWY 38,Sharbot Lake,3455,25.7,0.65
2020-2021,Algonquin & Lakeshore CDSB,St. Peter Catholic School (K-6),15 Tripp Blvd,Trenton,25188,104.1,2.65
2020-2021,Algonquin & Lakeshore CDSB,St Michael Catholic School,273 Church Street,Belleville,55420,368.7,39.09
2020-2021,Algonquin & Lakeshore CDSB,St Patrick Catholic School (Erinsville),6041 Highway 41,Erinsville,9418,101.8,23.85
